individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
14623;14721;14600;14600;14606;14604;14651;14611;14600;14604;14654;14700;14600;14744;14744;14744;14744;14600;14669;14675;14600;14679;14625;14723;14600;14610;14604;14744;14605;14605
14600;14600;14605;14605;14610;14600;14610;14600;14600;14600;14600;14600;14601;14603;14623;14721;14600;14600;14600;14600;14600;14600;14603;14600;14600;14600;14652;14605;14607;14600
14601;14603;14605;14607;14600;14744;14612;14670;14602;14605;14653;14716;14604;14600;14606;14601;14600;14600;14600;14607;14600;14600;14703;14720;14600;14600;14607;14600;14600;14679
14605;14603;14600;14600;14604;14606;14600;14603;14601;14604;14642;14702;14700;14669;14679;14600;14606;14608;14600;14610;14600;14625;14605;14744;14619;14606;14600;14607;14600;14600
14600;14600;14607;14600;14601;14602;14604;14600;14610;14600;14604;14606;14604;14600;14602;14602;14601;14602;14600;14600;14600;14600;14643;14711;14600;14600;14600;14600;14610;14744
14600;14610;14600;14600;14603;14604;14607;14603;14710;14634;14614;14730;14600;14600;14610;14679;14600;14600;14610;14603;14600;14600;14607;14605;14679;14744;14619;14660;14610;14600
14600;14744;14602;14601;14600;14600;14667;14687;14678;14601;14643;14708;14600;14600;14668;14680;14677;14677;14600;14600;14600;14679;14744;14607;14604;14603;14600;14600;14600;14600
14600;14605;14643;14625;14600;14744;14600;14607;14600;14744;14600;14601;14651;14618;14604;14603;14605;14677;14600;14744;14600;14600;14608;14602;14679;14600;14603;14604;14660;14619
14600;14601;14735;14677;14600;14600;14670;14609;14668;14600;14600;14600;14600;14604;14610;14744;14600;14600;14600;14600;14629;14650;14603;14744;14600;14600;14600;14600;14744;14604
14600;14600;14604;14607;14600;14744;14689;14655;14602;14605;14600;14600;14600;14601;14600;14600;14744;14610;14600;14601;14600;14600;14600;14600;14600;14600;14668;14679;14601;14600
14600;14601;14608;14660;14600;14600;14600;14600;14668;14600;14603;14601;14600;14600;14604;14740;14604;14600;14604;14600;14744;14600;14600;14600;14717;14627;14676;14668;14600;14600
14600;14610;14607;14600;14679;14600;14600;14600;14600;14600;14601;14600;14600;14600;14600;14600;14647;14632;14600;14600;14656;14492;14600;14600;14600;14605;14744;14607;14603;14600
14600;14607;14603;14604;14634;14634;14600;14600;14600;14600;14600;14600;14600;14600;14600;14600;14600;14600;14600;14668;14603;14600;14601;14600;14601;14600;14600;14600;14600;14600
14650;14618;14744;14603;14600;14601;14600;14600;14600;14600;14600;14600;14601;14602;14668;14744;14603;14679;14668;14610;14624;14601;14744;14668;14600;14600;14601;14600;14605;14602
14744;14600;14610;14600;14607;14600;14600;14600;14600;14610;14600;14601;14600;14600;14610;14600;14600;14600;14600;14600;14601;14600;14600;14601;14744;14600;14600;14600;14600;14668
14604;14600;14625;14643;14600;14600;14744;14600;14603;14600;14600;14600;14600;14600;14600;14600;14725;14619;14600;14744;14668;14600;14603;14744;14606;14601;14610;14601;14600;14600
14600;14600;14600;14600;14600;14600;14679;14744;14600;14600;14601;14606;14600;14600;14600;14600;14603;14601;14601;14744;14607;14604;14600;14600;14744;14600;14703;14648;14636;14632
14600;14600;14604;14607;14600;14600;14604;14603;14600;14600;14734;14611;14600;14600;14600;14600;14610;14600;14600;14600;14704;14650;14600;14600;14607;14600;14606;14604;14600;14604
14600;14600;14600;14600;14646;14698;14600;14600;14600;14600;14600;14603;14600;14600;14600;14679;14600;14607;14600;14600;14600;14668;14600;14600;14600;14744;14600;14600;14600;14744
14600;14607;14600;14600;14744;14600;14600;14744;14601;14603;14684;14660;14601;14600;14600;14600;14610;14604;14603;14607;14603;14600;14600;14600;14649;14619;14605;14605;14600;14600
14603;14600;14600;14601;14610;14600;14600;14607;14697;14647;14668;14600;14600;14600;14603;14600;14621;14647;14603;14601;14604;14668;14600;14600;14679;14601;14607;14610;14671;14673
14600;14601;14656;14623;14600;14601;14600;14600;14600;14600;14600;14604;14601;14603;14600;14600;14610;14610;14600;14600;14600;14600;14637;14707;14600;14600;14601;14602;14723;14625
14600;14600;14600;14600;14600;14610;14602;14602;14601;14668;14600;14603;14601;14600;14744;14744;14673;14671;14600;14600;14601;14600;14600;14601;14601;14602;14744;14600;14600;14610
14603;14605;14601;14600;14600;14600;14713;14631;14600;14600;14600;14600;14604;14600;14600;14601;14600;14600;14600;14604;14603;14668;14600;14600;14600;14600;14600;14600;14600;14600
14600;14601;14600;14600;14662;14606;14600;14603;14600;14600;14610;14600;14600;14744;14606;14604;14600;14600;14694;14650;14603;14668;14600;14744;14600;14600;14603;14603;14600;14600
14603;14600;14600;14600;14604;14600;14602;14602;14603;14603;14600;14744;14600;14607;14600;14600;14607;14600;14676;14668;14713;14641;14601;14600;14600;14600;14600;14600;14604;14600
14600;14600;14600;14744;14672;14607;14607;14600;14736;14608;14600;14600;14600;14600;14600;14600;14744;14600;14600;14600;14607;14744;14646;14643;14600;14600;14600;14603;14600;14600
14600;14600;14602;14602;14602;14602;14603;14600;14600;14600;14604;14603;14600;14600;14600;14744;14600;14600;14600;14600;14744;14600;14624;14720;14668;14676;14646;14622;14600;14604
14664;14608;14600;14610;14628;14640;14603;14600;14600;14600;14600;14600;14633;14642;14603;14600;14668;14676;14600;14601;14603;14604;14600;14603;14600;14600;14682;14663;14600;14600
14600;14600;14612;14656;14631;14637;14603;14600;14600;14744;14600;14600;14600;14600;14600;14603;14725;14622;14601;14668;14600;14600;14601;14600;14728;14619;14624;14648;14601;14606
14603;14603;14679;14744;14600;14604;14601;14603;14600;14744;14668;14744;14637;14707;14600;14601;14602;14601;14725;14619;14721;14626;14600;14604;14600;14600;14607;14600;14600;14601
14601;14603;14604;14744;14607;14600;14610;14600;14608;14602;14600;14610;14600;14603;14601;14604;14601;14667;14744;14607;14744;14600;14604;14607;14600;14600;14602;14603;14604;14607
14600;14600;14642;14703;14604;14603;14729;14625;14600;14600;14600;14600;14608;14609;14677;14667;14600;14600;14606;14601;14600;14744;14604;14600;14635;14709;14600;14601;14604;14600
14690;14654;14600;14600;14600;14604;14744;14600;14600;14600;14600;14600;14600;14600;14718;14626;14600;14600;14631;14713;14744;14600;14600;14600;14608;14603;14601;14602;14744;14668
14666;14678;14600;14600;14600;14600;14688;14724;14656;14613;14600;14600;14600;14603;14612;14659;14603;14601;14607;14600;14600;14600;14600;14600;14602;14603;14639;14715;14603;14668
14610;14600;14600;14600;14600;14601;14744;14744;14657;14687;14600;14600;14604;14601;14603;14600;14600;14601;14600;14600;14600;14601;14600;14600;14600;14601;14614;14654;14601;14602
14668;14610;14649;14622;14600;14600;14600;14600;14607;14600;14668;14600;14744;14744;14601;14600;14600;14600;14600;14600;14684;14660;14600;14607;14600;14600;14600;14600;14600;14600
14601;14606;14600;14600;14602;14605;14600;14600;14668;14603;14600;14744;14744;14744;14604;14600;14668;14603;14603;14603;14600;14600;14600;14600;14601;14600;14600;14600;14600;14600
14600;14668;14600;14604;14744;14603;14600;14600;14600;14744;14600;14600;14744;14668;14600;14600;14600;14601;14707;14641;14601;14606;14600;14668;14600;14600;14600;14600;14668;14600
14668;14744;14732;14612;14600;14744;14744;14600;14603;14603;14684;14728;14600;14600;14600;14600;14638;14631;14640;14628;14601;14602;14607;14600;14607;14600;14604;14744;14607;14600
14600;14601;14602;14605;14655;14613;14600;14600;14603;14601;14744;14744;14601;14602;14600;14603;14600;14600;14600;14600;14668;14604;14668;14600;14603;14600;14600;14600;14668;14668
14600;14600;14600;14600;14600;14600;14604;14603;14600;14600;14600;14600;14600;14600;14600;14600;14635;14633;14600;14600;14601;14606;14600;14600;14600;14600;14697;14651;14743;14601
14614;14731;14600;14607;14600;14601;14602;14601;14600;14600;14666;14602;14600;14600;14603;14600;14600;14600;14600;14668;14744;14610;14600;14600;14604;14603;14668;14744;14600;14600
14600;14600;14635;14713;14600;14668;14640;14635;14607;14600;14600;14600;14603;14600;14600;14600;14600;14600;14600;14600;14639;14705;14744;14744;14604;14601;14607;14610;14604;14600
14600;14600;14600;14600;14600;14600;14601;14668;14601;14602;14659;14609;14604;14603;14617;14651;14690;14654;14613;14656;14600;14600;14600;14600;14600;14600;14601;14600;14600;14600
14601;14602;14662;14682;14600;14600;14693;14651;14603;14600;14742;14609;14608;14660;14602;14601;14604;14603;14600;14600;14600;14600;14601;14602;14601;14600;14600;14600;14600;14607
14718;14626;14675;14737;14600;14600;14600;14600;14600;14600;14603;14600;14668;14600;14660;14608;14600;14600;14607;14600;14600;14600;14601;14600;14643;14701;14600;14600;14744;14744
14669;14675;14600;14600;14601;14600;14668;14600;14600;14600;14744;14600;14650;14694;14679;14665;14600;14603;14697;14648;14600;14609;14600;14668;14600;14744;14600;14600;14601;14600
14602;14605;14600;14600;14600;14600;14600;14600;14668;14744;14744;14600;14600;14668;14644;14624;14601;14603;14600;14600;14600;14600;14600;14668;14600;14600;14600;14600;14600;14744
14603;14604;14600;14744;14600;14668;14722;14622;14633;14714;14600;14600;14604;14744;14600;14744;14600;14600;14723;14689;14600;14600;14600;14600;14721;14691;14600;14600;14600;14600
14600;14600;14600;14600;14712;14632;14684;14660;14744;14744;14744;14744;14623;14645;14625;14719;14600;14600;14601;14600;14600;14603;14601;14602;14601;14602;14607;14600;14600;14607
14600;14600;14600;14609;14600;14604;14600;14600;14604;14604;14725;14623;14650;14694;14600;14744;14604;14600;14600;14600;14744;14668;14603;14600;14600;14744;14621;14647;14744;14600
14600;14600;14604;14601;14600;14604;14600;14600;14601;14607;14628;14716;14600;14600;14600;14601;14600;14600;14600;14607;14744;14744;14600;14601;14600;14600;14600;14600;14602;14601
14601;14600;14600;14668;14638;14630;14600;14600;14668;14600;14600;14604;14600;14600;14600;14600;14600;14600;14600;14744;14600;14600;14600;14601;14600;14607;14600;14600;14600;14600
14601;14600;14668;14676;14668;14668;14600;14600;14600;14601;14600;14600;14601;14600;14600;14668;14606;14605;14744;14600;14604;14603;14600;14600;14600;14607;14600;14600;14744;14603
14600;14600;14602;14602;14601;14603;14600;14600;14692;14655;14601;14600;14601;14606;14604;14600;14600;14600;14600;14600;14600;14601;14600;14600;14600;14600;14600;14600;14600;14600
14607;14600;14665;14603;14604;14603;14613;14655;14707;14637;14600;14600;14668;14600;14600;14607;14601;14744;14607;14600;14639;14629;14600;14600;14600;14600;14600;14600;14602;14601
14600;14600;14602;14601;14600;14668;14600;14600;14604;14603;14600;14600;14600;14600;14727;14617;14600;14600;14600;14600;14602;14602;14658;14610;14668;14600;14603;14600;14600;14600
14602;14600;14600;14600;14600;14600;14600;14600;14668;14607;14600;14602;14600;14600;14658;14686;14600;14600;14600;14600;14649;14619;14604;14600;14603;14604;14600;14600;14604;14603
14604;14604;14600;14600;14601;14668;14744;14600;14600;14601;14600;14607;14600;14607;14651;14693;14601;14602;14600;14600;14600;14744;14657;14612;14600;14600;14603;14601;14603;14602
14600;14600;14600;14601;14600;14744;14618;14651;14602;14600;14666;14602;14604;14607;14600;14600;14600;14600;14600;14600;14727;14617;14603;14668;14600;14600;14600;14603;14601;14601
14600;14600;14600;14600;14600;14600;14668;14668;14602;14602;14600;14600;14601;14600;14601;14600;14600;14601;14602;14603;14693;14651;14600;14604;14600;14601;14600;14600;14744;14744
14600;14668;14600;14600;14600;14603;14744;14600;14600;14744;14600;14600;14601;14601;14734;14678;14600;14600;14600;14668;14744;14600;14600;14603;14669;14675;14600;14600;14600;14601
14600;14668;14744;14602;14668;14668;14607;14600;14600;14600;14604;14600;14602;14602;14744;14603;14600;14600;14600;14668;14600;14601;14600;14744;14600;14600;14600;14600;14600;14604
14600;14600;14605;14602;14734;14610;14600;14604;14600;14600;14686;14662;14600;14600;14664;14604;14600;14601;14600;14600;14603;14601;14600;14600;14600;14600;14629;14642;14600;14600
14603;14600;14600;14601;14600;14600;14600;14600;14600;14600;14600;14601;14600;14600;14600;14600;14602;14600;14600;14600;14744;14668;14600;14604;14600;14601;14744;14600;14600;14600
