individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
18;85;64;67;30;31;41;51;39;49;15;5;41;65;65;62;33;15;49;54;61;18;3;42;15;13;43;39;7;7;60;49;52;17;3;20;37;34;0;80;7;5;55;67;23;20;56;45;21;48;42;8;23;7;3;1;11;18;1;49;7;95;51;5;48;71;20;39;20;3;59;4;7;20;37;25;14;7;31;22;15;9;80;58;46;20;39;7;75;52;7;7;52;9;39;43;23;31;73;24
79;20;20;20;3;79;74;6;30;23;44;37;42;70;2;2;12;43;71;76;38;28;36;46;79;9;41;51;46;5;4;4;5;5;7;60;3;49;64;66;26;29;40;12;81;63;43;21;44;45;48;49;79;42;56;5;35;13;11;47;34;3;86;81;48;59;20;49;59;32;46;22;52;33;39;70;71;59;36;49;12;17;20;3;42;46;61;11;7;5;70;41;64;58;7;9;54;75;49;79
47;39;19;61;16;11;4;3;60;9;1;4;46;24;42;25;12;15;3;15;96;4;37;7;52;52;12;4;4;6;6;41;49;49;60;44;54;11;70;20;53;14;63;39;50;51;28;37;45;38;22;41;4;4;24;25;41;34;7;47;71;49;19;33;22;49;86;53;5;33;51;86;0;51;47;7;52;71;48;42;58;64;43;50;23;33;40;26;5;6;82;63;7;7;23;20;45;47;2;2
33;70;52;63;49;49;9;27;42;71;70;49;65;74;3;52;20;3;3;20;11;16;20;89;62;14;10;39;6;15;20;17;5;42;60;33;54;20;56;64;89;7;60;3;18;11;44;49;49;59;83;52;4;7;52;20;33;34;50;51;23;79;42;20;9;7;53;56;39;60;1;4;3;7;63;72;70;22;18;34;42;96;4;42;34;42;54;11;48;33;49;48;27;29;23;70;43;27;60;20
72;27;12;11;4;41;26;29;70;7;52;61;58;56;7;15;40;21;39;33;60;43;42;6;86;49;4;22;9;7;3;0;50;59;41;33;43;5;52;70;2;18;29;11;49;48;16;9;32;16;43;39;48;52;15;33;44;47;89;56;60;49;34;30;51;20;4;9;5;9;48;54;45;48;70;33;64;59;49;49;15;70;49;20;5;70;5;44;7;43;47;38;67;55;20;60;48;60;60;42
60;33;3;54;20;7;49;70;40;41;23;4;20;59;33;20;7;5;41;29;70;52;6;23;71;43;14;42;49;44;39;38;51;45;42;27;32;46;10;59;39;3;0;7;42;70;45;43;28;48;59;27;49;49;51;41;21;44;20;41;7;20;1;1;50;50;49;39;49;45;59;3;3;4;36;6;20;49;22;31;13;16;8;1;6;44;20;33;4;7;17;31;4;4;60;3;96;23;81;64
10;39;33;28;55;47;20;3;33;51;42;44;50;33;4;9;60;6;48;29;17;50;33;70;6;21;49;52;20;89;49;52;7;12;7;80;25;47;22;43;60;25;8;17;45;35;71;49;33;4;18;5;60;6;33;21;33;33;51;71;25;44;52;49;16;35;14;49;6;20;34;35;4;3;44;47;7;52;3;49;5;49;37;5;44;49;5;60;7;49;43;44;15;16;3;20;15;21;23;49
0;7;33;43;28;9;62;29;27;26;79;14;30;36;33;59;15;23;43;51;16;35;95;61;43;34;28;41;49;49;40;59;33;33;51;66;48;32;78;7;42;49;4;5;21;22;43;49;7;3;35;94;35;35;6;43;20;49;38;31;60;49;51;94;40;45;70;49;16;31;60;52;70;49;42;3;52;56;3;20;51;7;60;23;67;35;9;29;23;4;4;3;12;8;79;95;33;42;5;4
38;21;9;21;29;33;10;44;49;3;20;20;70;41;20;86;48;20;44;49;42;49;25;30;33;71;53;29;0;7;20;47;5;5;7;49;44;26;28;10;20;7;14;15;20;49;4;16;6;4;6;4;20;71;42;61;20;3;39;51;59;80;21;63;20;3;43;20;22;42;32;35;33;6;31;5;7;3;54;14;42;25;9;12;3;43;42;49;52;58;71;52;7;39;79;20;4;71;74;67
20;89;32;32;46;47;9;60;20;79;8;8;33;33;20;52;33;42;6;6;56;64;67;44;18;25;49;21;60;59;71;52;88;12;70;20;20;86;35;23;9;49;79;33;60;33;9;18;11;45;4;49;32;3;70;7;41;28;41;70;4;52;86;5;6;5;43;21;7;1;43;6;16;11;46;26;5;7;60;20;49;41;34;40;29;24;52;49;49;39;68;51;20;9;16;89;48;4;36;35
52;15;49;44;21;31;3;2;15;41;20;22;42;41;26;55;49;60;43;43;60;20;30;24;59;60;12;46;14;20;3;33;36;20;23;33;49;49;27;15;20;52;43;49;65;55;49;9;49;5;43;71;56;64;94;50;21;31;15;22;54;75;7;5;38;11;39;49;35;40;32;48;49;5;60;96;58;21;23;30;33;51;18;2;23;20;38;46;32;32;23;47;41;44;33;5;60;52;4;1
20;89;33;45;74;37;59;64;49;43;15;49;53;56;11;10;41;49;6;4;12;31;5;42;49;95;13;5;22;24;6;67;86;42;20;7;5;6;7;70;60;7;25;44;48;9;3;48;9;70;16;6;12;15;16;23;65;28;50;51;16;33;4;6;28;36;44;49;7;15;49;42;23;7;37;56;85;37;49;20;6;42;24;11;49;39;33;15;33;86;48;33;7;7;25;28;43;33;30;29
42;7;52;15;49;32;50;35;23;43;0;3;20;89;77;8;6;13;60;33;20;52;5;23;52;33;49;49;51;9;41;75;3;70;7;79;49;48;49;79;71;37;21;20;20;12;64;52;49;49;9;85;39;4;23;20;7;60;7;42;61;69;9;31;18;9;33;70;26;60;6;39;52;20;96;41;16;3;79;3;3;6;6;15;42;32;14;24;59;49;45;49;7;1;22;35;49;49;20;26
20;42;57;11;6;28;34;28;49;3;4;10;60;49;33;23;42;25;31;60;16;42;47;49;52;60;52;3;49;52;33;7;31;7;52;52;20;52;5;43;60;62;12;11;51;69;21;52;20;22;49;11;57;55;33;42;4;39;53;69;0;49;42;6;3;46;23;45;44;52;26;63;17;10;41;13;50;51;52;6;12;60;49;32;5;4;52;20;3;71;14;13;4;19;59;49;37;17;48;49
35;23;12;45;3;32;5;17;7;33;3;4;31;4;54;21;83;64;20;17;1;48;52;49;59;52;48;43;59;0;42;20;23;23;4;3;1;7;87;40;6;4;27;26;52;6;52;4;49;15;37;32;49;43;70;75;34;41;89;7;7;15;79;44;7;49;25;47;49;12;20;20;3;3;1;5;3;3;57;16;7;4;90;9;40;42;8;7;60;22;71;70;43;60;15;47;43;49;96;16
49;49;40;40;48;48;30;23;23;51;36;41;3;1;57;50;9;42;32;40;52;60;33;33;4;20;24;22;3;42;49;33;25;43;68;71;42;44;3;47;15;43;32;1;3;20;10;22;9;51;37;32;58;51;4;6;40;13;47;18;48;51;56;53;59;60;49;20;43;47;52;6;36;40;39;22;42;3;34;13;5;5;33;27;11;11;45;8;70;4;17;23;12;25;4;3;39;53;5;49
1;3;25;38;7;71;12;59;41;23;60;33;3;20;42;46;41;38;20;49;53;10;10;46;8;48;7;52;16;7;17;7;25;9;44;47;45;29;38;46;7;1;70;9;3;3;3;22;70;33;49;7;49;49;52;9;4;48;5;79;6;6;23;25;44;20;42;11;0;59;3;3;49;49;5;42;29;12;14;62;60;22;43;9;26;28;54;57;9;49;5;71;31;25;51;34;45;46;46;25
24;11;20;7;13;10;20;20;21;20;11;8;7;15;44;9;7;20;39;40;70;61;48;43;24;32;13;45;49;9;33;3;33;4;1;42;43;33;56;88;59;48;53;34;7;39;11;26;32;3;23;26;52;3;52;71;20;52;81;54;40;42;20;49;5;3;3;4;11;33;86;86;54;13;70;4;70;7;3;79;4;3;23;42;61;88;55;80;49;11;9;20;3;5;11;26;32;3;48;42
42;6;35;34;58;60;16;64;96;3;46;14;41;36;70;51;32;23;21;60;20;29;20;79;54;11;48;40;26;30;10;4;20;86;42;10;49;49;32;32;45;52;5;20;60;49;7;15;4;33;59;60;8;6;24;36;18;29;6;5;49;49;87;15;52;49;16;28;43;44;33;6;15;4;10;39;58;26;94;7;49;49;11;7;95;20;49;79;33;20;7;21;48;17;20;7;49;54;6;5
5;6;20;32;33;47;46;42;70;4;22;20;7;43;4;6;47;6;6;8;59;33;32;40;31;26;33;21;49;47;6;59;34;46;32;52;80;85;52;28;14;60;52;20;63;83;3;6;86;39;4;10;39;42;5;5;49;51;31;3;42;27;44;52;8;7;12;15;42;52;7;59;13;76;7;7;38;32;3;20;70;7;11;49;14;15;49;4;31;38;5;6;44;42;6;6;14;25;33;47
14;42;21;26;59;52;45;49;39;60;43;49;66;63;20;54;9;33;49;49;16;31;22;49;50;50;49;48;53;53;43;52;89;31;9;49;8;13;49;33;36;29;26;24;9;39;49;1;22;30;83;51;70;20;4;9;62;77;59;3;4;4;9;16;9;42;5;49;19;31;5;5;90;77;3;7;5;54;3;4;9;11;48;3;40;27;49;27;3;5;10;18;21;69;96;9;39;52;24;27
12;36;13;44;41;33;33;33;21;47;36;36;39;13;52;32;4;20;57;88;10;20;11;42;20;11;31;27;49;23;33;33;6;50;48;48;7;49;49;71;20;59;23;46;4;4;49;46;59;32;51;20;35;18;3;32;5;33;36;16;34;41;8;15;16;17;9;3;6;60;55;9;40;23;70;7;4;49;50;30;60;42;47;32;44;44;48;64;0;7;9;79;49;83;33;52;86;49;20;11
48;49;30;49;39;54;1;9;52;4;86;33;60;1;73;66;88;53;42;16;45;11;49;49;54;49;70;5;4;33;41;43;49;39;52;31;43;26;10;24;3;7;33;52;4;42;42;57;33;49;44;7;12;77;30;51;96;49;79;79;11;32;52;48;49;3;49;4;22;1;59;54;56;52;49;49;68;63;45;54;59;43;9;19;20;48;49;6;62;11;95;86;4;1;45;50;55;53;40;53
56;53;7;7;26;19;4;32;18;46;30;14;52;32;26;39;20;20;32;23;71;3;21;39;10;32;51;50;32;14;44;59;40;23;49;95;52;49;49;20;20;49;11;14;22;11;42;49;21;60;5;78;38;81;60;60;43;43;52;96;57;5;11;4;33;15;35;93;69;34;1;7;39;30;29;38;7;7;3;20;59;52;59;7;43;95;31;38;11;40;39;73;5;10;52;7;11;49;31;23
42;29;41;16;49;60;52;3;7;4;3;7;76;62;11;13;60;5;33;33;8;9;9;22;32;33;49;43;12;24;59;49;45;7;48;52;16;32;32;49;38;42;32;33;79;49;45;57;10;20;4;96;49;22;7;7;48;47;42;46;15;5;24;30;9;12;52;21;46;29;15;43;4;5;6;4;39;13;71;54;34;48;20;42;48;26;1;7;49;5;31;25;33;71;52;42;11;4;67;46
0;48;50;85;42;1;11;42;53;12;4;6;11;20;4;14;14;4;33;20;23;4;71;9;31;17;52;47;48;31;33;79;0;3;15;20;7;59;59;4;33;33;13;10;1;3;70;49;67;78;4;16;32;52;7;18;10;6;32;37;33;11;49;3;73;33;20;3;35;64;36;16;52;96;42;21;6;5;45;37;24;13;20;32;29;16;33;52;49;20;15;21;31;5;9;4;32;33;16;12
56;9;14;22;46;44;16;49;32;18;30;33;7;10;49;3;50;5;43;20;46;9;59;20;5;33;23;30;11;20;54;21;27;26;28;7;52;4;6;5;96;3;59;59;4;32;48;20;49;47;14;59;59;48;53;12;43;33;33;3;47;22;49;15;6;9;54;49;33;19;60;20;4;42;57;71;40;35;7;10;44;5;14;33;31;71;14;32;4;49;33;48;9;52;47;53;47;28;49;48
53;50;9;96;59;47;20;9;4;60;29;31;18;22;7;48;7;52;37;47;7;41;41;6;16;36;20;25;12;45;20;37;13;5;33;14;21;12;28;25;6;11;32;6;33;96;78;21;31;49;24;21;11;49;14;59;8;11;32;52;11;49;80;38;6;8;4;10;48;49;49;51;56;19;48;51;5;5;4;3;7;6;24;76;33;3;43;27;1;42;52;1;59;48;31;34;49;4;86;60
60;14;23;31;22;24;60;59;52;60;48;49;49;71;4;52;46;26;4;4;30;32;1;7;9;11;44;11;49;7;49;48;54;20;5;71;53;66;70;95;4;49;34;36;21;32;20;31;66;25;48;1;20;86;39;59;59;60;49;15;73;39;70;15;4;3;51;89;1;3;37;22;25;30;7;49;20;3;15;24;49;42;7;9;33;14;4;32;19;10;33;52;60;20;14;33;59;86;19;7
33;26;51;15;52;96;4;3;20;4;59;31;47;38;4;15;22;49;26;33;79;20;30;42;33;49;31;28;3;33;11;72;89;4;4;3;4;26;46;33;24;33;49;79;4;3;49;52;33;49;4;42;63;39;20;44;24;25;26;32;13;18;41;9;49;20;1;48;21;47;1;49;79;7;48;45;27;28;56;53;49;33;1;14;31;20;59;47;22;52;34;36;3;20;33;4;26;20;4;4
5;5;22;26;29;10;70;10;7;45;25;40;6;3;17;12;1;11;19;16;10;83;52;52;9;15;42;29;3;3;20;4;7;33;4;33;78;78;46;46;3;4;11;49;49;79;11;3;4;7;4;48;48;42;49;33;86;60;14;32;6;49;48;26;50;6;49;96;20;20;37;75;26;49;25;38;48;48;15;20;9;15;68;34;9;44;48;45;33;43;49;7;33;52;33;3;49;49;7;19
33;43;29;43;5;4;71;41;33;49;65;38;38;24;54;20;33;52;4;32;49;52;60;4;63;40;52;96;55;68;38;31;59;59;1;4;86;33;20;71;52;49;48;49;52;51;4;11;7;32;62;41;20;5;37;25;47;33;7;31;42;33;40;19;22;29;22;16;14;5;26;33;49;5;42;87;23;17;49;7;49;3;33;49;11;60;79;86;33;6;31;33;33;22;32;3;4;20;6;39
31;49;5;33;59;96;15;47;1;26;49;52;21;86;17;43;21;59;46;55;32;49;20;10;48;49;2;51;33;59;39;79;49;42;46;44;47;11;3;86;42;3;48;49;52;6;6;5;5;1;18;50;52;18;36;32;67;43;85;52;1;4;6;20;48;34;33;20;33;32;60;60;49;60;4;3;79;33;4;5;49;9;1;52;60;20;14;5;5;23;49;33;60;49;33;32;59;52;12;6
33;16;47;47;17;46;15;5;39;19;26;23;52;11;3;3;59;60;3;4;2;4;26;10;28;24;96;49;41;42;47;49;48;10;42;6;59;4;49;49;30;30;4;60;5;29;5;15;20;44;49;11;47;3;24;45;3;96;3;49;25;24;86;49;86;6;14;42;4;4;38;47;31;31;11;9;4;22;41;12;3;79;11;28;35;47;85;32;3;47;59;33;1;4;60;3;71;68;16;95
33;4;33;38;18;18;10;22;71;0;47;48;46;38;31;5;4;47;1;96;42;7;50;53;49;58;16;18;4;3;3;6;52;6;20;20;10;33;7;9;38;31;47;3;6;9;33;15;7;33;1;31;47;6;47;10;4;6;3;33;20;49;20;32;12;14;6;20;32;49;45;35;20;11;33;49;1;20;96;42;52;20;33;54;18;38;70;1;70;86;49;32;20;49;9;79;33;52;47;4
41;33;49;49;28;14;4;4;86;4;30;79;53;53;36;50;11;13;49;31;35;45;28;39;22;33;20;60;39;52;48;69;36;24;20;6;22;33;56;64;59;33;49;96;59;49;33;86;5;50;22;70;52;52;47;4;52;59;73;22;23;20;33;95;20;4;31;23;54;7;2;2;71;57;49;22;33;3;7;20;49;54;35;18;46;46;24;45;75;51;52;43;32;26;28;12;25;34;12;34
43;31;22;45;49;20;21;39;45;20;20;47;36;22;48;46;71;20;31;32;29;24;3;79;57;52;9;44;65;35;14;47;4;1;34;59;33;4;66;20;49;47;32;70;20;40;47;47;31;59;17;38;4;20;32;31;32;42;20;3;50;51;15;48;49;11;60;43;60;42;16;15;52;59;27;19;54;35;7;49;54;54;37;16;42;22;3;52;49;6;14;60;10;8;12;22;28;36;60;59
5;9;49;50;5;4;68;61;52;49;5;3;96;3;11;52;19;34;11;60;46;52;31;33;42;14;15;14;13;28;11;29;51;52;1;49;48;15;1;52;60;6;26;59;51;68;31;21;26;48;6;46;59;4;3;14;15;33;52;11;52;4;17;17;3;5;29;27;4;4;51;50;7;11;39;19;70;9;49;46;11;49;49;49;4;4;56;52;47;35;27;48;4;54;40;12;9;38;39;6
