individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
52;53;80;91;90;83;89;91;81;38;47;82;82;82;66;66;82;44;72;67;74;53;73;37;57;80;92;64;51;89;43;59;36;87;62;54;66;59;72;92;88;55;68;82;91;82;68;54;88;65;80;52;80;81;62;54;69;92;47;50;67;71;56;82;82;87;75;85;70;73;83;82;61;73;40;52;54;87;78;90;35;52;64;60;82;69;64;64;54;55;73;81;54;91;82;37;52;42;69;69
61;65;84;89;80;73;81;81;77;76;69;70;71;70;64;89;90;91;96;96;91;69;87;59;65;64;62;82;64;73;82;67;72;70;69;69;67;77;91;82;71;69;96;52;54;45;52;91;52;82;73;47;50;37;52;36;91;85;59;73;83;56;60;55;69;73;57;92;59;82;80;74;52;82;91;38;73;51;35;87;72;79;47;54;43;65;84;86;80;80;40;72;45;50;83;86;91;62;78;71
69;37;80;67;36;82;35;62;52;85;52;59;77;66;82;59;71;56;71;71;73;80;82;44;55;73;69;59;69;52;65;78;56;44;54;54;80;54;65;70;67;72;82;78;83;82;68;73;91;62;82;82;69;73;82;82;73;35;52;67;82;82;67;82;68;60;58;54;61;71;51;45;62;52;85;88;72;47;66;67;80;60;52;91;52;57;40;68;82;56;82;74;73;73;71;52;82;83;62;73
48;69;89;54;92;80;67;82;57;66;68;62;47;45;81;69;67;59;89;82;70;70;51;71;68;81;91;53;88;91;38;73;66;63;73;68;76;90;52;68;62;67;64;69;72;70;49;57;52;52;88;75;66;58;80;56;82;70;59;54;43;43;54;82;64;58;82;62;83;60;69;70;62;69;36;37;82;81;68;81;67;82;69;82;44;80;82;80;51;64;65;52;76;79;59;59;52;52;52;69
69;63;51;91;80;52;46;52;64;81;81;73;77;66;66;76;60;66;82;91;59;8;52;72;83;68;67;81;84;76;62;74;71;72;67;62;68;68;76;74;69;50;71;79;52;75;64;64;69;73;49;91;68;83;66;60;65;72;66;63;47;52;59;82;92;47;65;40;66;61;49;49;64;82;88;67;66;53;62;82;86;74;52;80;67;82;68;65;35;81;82;73;42;68;85;58;52;54;52;74
72;70;85;80;46;76;66;54;54;82;81;81;82;80;82;51;55;71;80;82;81;75;67;65;51;64;74;83;51;47;44;54;79;61;42;67;82;54;82;38;82;80;66;78;79;68;78;70;92;59;69;92;91;84;64;66;87;62;39;52;54;59;68;60;52;61;76;82;92;87;69;68;70;78;82;87;81;81;51;64;75;78;38;81;82;92;82;91;85;77;42;55;87;87;59;72;85;92;57;63
52;52;55;60;79;85;82;73;40;88;60;82;81;82;57;47;91;44;67;69;67;89;82;82;79;68;58;63;44;67;92;82;71;83;68;89;65;64;69;70;61;81;80;82;74;76;79;54;89;90;53;53;91;92;81;80;64;80;92;82;81;38;58;83;88;52;85;76;83;74;68;82;83;88;57;73;44;81;70;56;82;54;83;78;74;59;92;81;62;81;63;73;80;82;81;81;82;51;82;92
81;82;74;68;54;35;69;51;64;96;91;82;67;69;52;57;78;75;68;92;91;81;92;74;64;61;62;66;86;83;81;64;82;42;44;92;73;68;77;67;69;74;77;76;81;81;81;73;35;80;92;61;92;92;88;70;67;74;69;81;82;82;75;79;63;70;80;53;49;51;81;81;92;92;82;59;91;80;35;87;85;79;80;75;55;79;67;51;91;92;58;64;70;67;68;82;67;57;61;53
82;81;69;54;76;74;72;70;67;70;67;59;65;81;60;91;73;54;74;82;37;44;92;59;87;92;82;52;52;91;82;67;82;81;82;44;96;82;36;92;73;88;51;52;35;82;54;72;80;81;82;82;73;76;62;35;64;58;52;56;92;82;68;92;81;48;81;67;74;82;56;56;73;91;68;75;62;61;67;68;80;81;89;89;37;89;56;39;52;74;61;73;69;74;68;81;80;81;74;44
44;82;68;52;40;67;75;79;38;67;82;73;60;82;62;88;80;40;84;69;59;87;54;68;64;63;57;92;61;92;60;61;68;56;50;56;52;52;82;82;62;61;87;73;91;92;54;59;81;82;51;91;92;80;77;69;67;72;82;82;92;52;38;82;88;71;54;82;73;70;82;82;67;59;92;57;87;68;47;78;52;52;56;71;36;73;58;62;73;78;62;63;74;73;65;58;68;57;82;82
